00:02:23 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:24 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:25 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:26 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:27 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:28 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:29 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:30 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:31 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:32 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:33 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:34 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:35 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:36 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:37 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:38 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:39 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:40 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:41 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:42 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:43 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:44 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:45 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:46 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:47 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:48 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:49 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:50 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:51 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:52 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:53 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:54 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:55 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:56 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:57 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
